task,recipe,reference,mask_name,metric,is_primary,n,df,mean,std,ci95_low,ci95_high,seeds_json,seed_differences_json
convnext_cifar100,constant_ild,dense,delete_first_only,ce,False,3,2,0.7781143309275308,1.1859854616870251,-2.1680368801399124,3.7242655419949737,"[2000, 2001, 2002]","[1.4416130752563472, 1.483856441879273, -0.5911265243530277]"
convnext_cifar100,constant_ild,dense,delete_first_only,accuracy,False,3,2,-0.12633332113424936,0.0825216454674241,-0.33132845268274047,0.07866181041424178,"[2000, 2001, 2002]","[-0.181799978017807, -0.16569998860359192, -0.03149999678134918]"
convnext_cifar100,constant_ild,dense,delete_first_only,excess_ce,False,3,2,1.4908172362009686,1.1576152314136143,-1.3848584159507882,4.366492888352726,"[2000, 2001, 2002]","[2.1820346488952636, 2.136034897232056, 0.1543821624755859]"
convnext_cifar100,constant_ild,dense,delete_first_only,accuracy_change,False,3,2,-0.15916663904984793,0.08091872226506974,-0.36017988862219164,0.0418466105224958,"[2000, 2001, 2002]","[-0.21189996600151062, -0.199599951505661, -0.06599999964237213]"
convnext_cifar100,decreasing_ild,dense,full,ce,False,3,2,-0.5658385107676192,0.038503402109816516,-0.661486263982648,-0.47019075755259027,"[2000, 2001, 2002]","[-0.5331387496948246, -0.5561009193420414, -0.6082758632659915]"
convnext_cifar100,decreasing_ild,dense,full,accuracy,False,3,2,0.027799983819325764,0.002722132162432977,0.021037832658020943,0.034562134980630585,"[2000, 2001, 2002]","[0.02469998598098755, 0.029799997806549072, 0.028899967670440674]"
convnext_cifar100,decreasing_ild,dense,full,excess_ce,False,3,2,0.0,0.0,0.0,0.0,"[2000, 2001, 2002]","[0.0, 0.0, 0.0]"
convnext_cifar100,decreasing_ild,dense,full,accuracy_change,False,3,2,0.0,0.0,0.0,0.0,"[2000, 2001, 2002]","[0.0, 0.0, 0.0]"
convnext_cifar100,decreasing_ild,dense,primary_two_thirds,ce,False,3,2,-5.380634590530395,2.4181224936464973,-11.387583868839574,0.626314687778784,"[2000, 2001, 2002]","[-6.758186532592774, -6.795208181381225, -2.588509057617187]"
convnext_cifar100,decreasing_ild,dense,primary_two_thirds,accuracy,False,3,2,0.3642999852697055,0.10801891519555228,0.09596612444068497,0.632633846098726,"[2000, 2001, 2002]","[0.43309997022151947, 0.41999997943639755, 0.23980000615119934]"
