config,seed,retained,layers,keeps_first,is_prefix,is_odd_layers,is_even_layers,ce,accuracy,perplexity,full_ce,excess_ce,perplexity_ratio_vs_full
decreasing_ild,100,3,"1,2,3",True,True,False,False,2.135073274374008,0.37353515625,8.457666214354365,2.1234680116176605,0.011605262756347656,1.0116728650793025
decreasing_ild,100,3,"1,2,4",True,False,False,False,2.1381514370441437,0.376220703125,8.483740396470958,2.1234680116176605,0.014683425426483154,1.0147917564918914
decreasing_ild,100,3,"1,2,5",True,False,False,False,2.1412417888641357,0.37451171875,8.50999869183314,2.1234680116176605,0.01777377724647522,1.0179326708089014
decreasing_ild,100,3,"1,2,6",True,False,False,False,2.146711826324463,0.373779296875,8.556676251075858,2.1234680116176605,0.023243814706802368,1.0235160573953623
decreasing_ild,100,3,"1,3,4",True,False,False,False,2.147511601448059,0.3736572265625,8.563522405209095,2.1234680116176605,0.02404358983039856,1.0243349675049849
decreasing_ild,100,3,"1,3,5",True,False,True,False,2.154091328382492,0.3692626953125,8.620053820921415,2.1234680116176605,0.030623316764831543,1.0310970337595748
decreasing_ild,100,3,"1,3,6",True,False,False,False,2.1542677879333496,0.370361328125,8.62157504596042,2.1234680116176605,0.030799776315689087,1.0312789967331226
decreasing_ild,100,3,"1,4,5",True,False,False,False,2.1623534560203552,0.369140625,8.691568832093115,2.1234680116176605,0.0388854444026947,1.0396513789435284
decreasing_ild,100,3,"1,4,6",True,False,False,False,2.1646863222122192,0.37060546875,8.71186876848695,2.1234680116176605,0.041218310594558716,1.0420795777269736
decreasing_ild,100,3,"1,5,6",True,False,False,False,2.1687368154525757,0.365234375,8.747227696250532,2.1234680116176605,0.04526880383491516,1.0463090740029086
decreasing_ild,100,3,"2,3,4",False,False,False,False,5.1766164898872375,0.0731201171875,177.08263532829494,2.1234680116176605,3.053148478269577,21.181930392844816
decreasing_ild,100,3,"2,3,5",False,False,False,False,5.145272731781006,0.06591796875,171.61828404919513,2.1234680116176605,3.0218047201633453,20.528306121772932
decreasing_ild,100,3,"2,3,6",False,False,False,False,5.546254217624664,0.0584716796875,256.27580238679974,2.1234680116176605,3.422786206007004,30.65470647341486
