config,seed,lr,steps,tokens,parameters,train_seconds,validation_ce,active_sequence_blocks,dense_sequence_blocks,nominal_mean_dropout,clipped_steps,max_preclip_grad_norm
decreasing_ild,11,0.02,800,819200,312448,13.99928941600956,2.173209249973297,61468,76800,0.20000000298023224,13,6.9697113037109375
decreasing_ild,10,0.03,800,819200,312448,14.466824417002499,2.6088646054267883,61531,76800,0.20000000298023224,22,15.98465633392334
decreasing_ild,11,0.03,800,819200,312448,14.559966458007693,2.534779191017151,61468,76800,0.20000000298023224,16,6.212364673614502
alternating,10,0.001,800,819200,312448,13.932966916821897,2.3093345761299133,61487,76800,0.20000003278255463,521,4.008076190948486
alternating,11,0.001,800,819200,312448,13.93641766696237,2.2947885990142822,61431,76800,0.20000003278255463,588,4.585674285888672
alternating,10,0.003,800,819200,312448,13.78181012510322,2.1564791798591614,61487,76800,0.20000003278255463,388,4.008076190948486
alternating,11,0.003,800,819200,312448,13.789189167087898,2.120376467704773,61431,76800,0.20000003278255463,503,4.255502700805664
alternating,10,0.01,800,819200,312448,13.797472874866799,2.0801817774772644,61487,76800,0.20000003278255463,40,11.520431518554688
alternating,11,0.01,800,819200,312448,13.807927875081077,2.0451334416866302,61431,76800,0.20000003278255463,34,3.9791886806488037
alternating,10,0.02,800,819200,312448,14.22939429199323,2.585109293460846,61487,76800,0.20000003278255463,13,13.410696029663086
alternating,11,0.02,800,819200,312448,14.200506207998842,2.328508198261261,61431,76800,0.20000003278255463,16,22.90074920654297
alternating,10,0.03,800,819200,312448,14.475045582978055,2.6218920946121216,61487,76800,0.20000003278255463,42,30.944351196289062
alternating,11,0.03,800,819200,312448,14.43968899990432,2.636158764362335,61431,76800,0.20000003278255463,19,17.06477165222168
dense4,10,0.001,800,819200,212480,9.517375957919285,2.282700002193451,51200,51200,0.0,677,3.7057785987854004
dense4,11,0.001,800,819200,212480,9.493681583087891,2.2871477603912354,51200,51200,0.0,652,4.214192867279053
dense4,10,0.003,800,819200,212480,9.503031375119463,2.1286966800689697,51200,51200,0.0,453,3.1482255458831787
dense4,11,0.003,800,819200,212480,9.514355333987623,2.1139365434646606,51200,51200,0.0,491,4.53469181060791
dense4,10,0.01,800,819200,212480,9.510237416950986,2.0458419919013977,51200,51200,0.0,14,3.301104784011841
dense4,11,0.01,800,819200,212480,9.491710874950513,2.0479015707969666,51200,51200,0.0,22,3.929077625274658
dense4,10,0.02,800,819200,212480,9.63604349992238,2.064986228942871,51200,51200,0.0,11,14.412275314331055
dense4,11,0.02,800,819200,212480,9.660119833191857,2.451650023460388,51200,51200,0.0,13,34.521705627441406
dense4,10,0.03,800,819200,212480,9.225418000016361,2.643948793411255,51200,51200,0.0,27,12.196056365966797
dense4,11,0.03,800,819200,212480,9.227510082768276,2.596883475780487,51200,51200,0.0,21,35.45841598510742
