treatment,seed,retained_depth,mask_group,n_masks,ce,accuracy,excess_ce,accuracy_change
dense6,2704,4,drops_first,5,0.3076926976442337,0.9205555438995361,0.23258792459964753,-0.06277780532836914
dense6,2704,5,prefix,1,0.08847218751907349,0.9861111044883728,0.013367414474487305,0.0027777552604675293
dense6,2704,5,all_masks,6,0.1330028623342514,0.9685185253620148,0.05789808928966522,-0.014814823865890503
dense6,2704,5,keeps_first,5,0.10943898558616638,0.9733333468437195,0.0343342125415802,-0.010000002384185792
dense6,2704,5,drops_first,1,0.2508222460746765,0.9444444179534912,0.17571747303009033,-0.03888893127441406
dense6,2704,6,prefix,1,0.07510477304458618,0.9833333492279053,0.0,0.0
dense6,2704,6,all_masks,1,0.07510477304458618,0.9833333492279053,0.0,0.0
dense6,2704,6,keeps_first,1,0.07510477304458618,0.9833333492279053,0.0,0.0
dense6,2705,1,prefix,1,1.221034288406372,0.7194444537162781,1.1383986100554466,-0.2638888955116272
dense6,2705,1,all_masks,6,1.2358502546946208,0.655092587073644,1.1532145763436954,-0.3282407621542613
dense6,2705,1,keeps_first,1,1.221034288406372,0.7194444537162781,1.1383986100554466,-0.2638888955116272
dense6,2705,1,drops_first,5,1.2388134479522706,0.6422222137451172,1.156177769601345,-0.3411111354827881
dense6,2705,2,prefix,1,0.7208023071289062,0.855555534362793,0.6381666287779808,-0.1277778148651123
dense6,2705,2,all_masks,15,0.7313807368278503,0.8192592620849609,0.6487450584769249,-0.16407408714294433
dense6,2705,2,keeps_first,5,0.673850131034851,0.8655555486679077,0.5912144526839256,-0.11777780055999756
dense6,2705,2,drops_first,10,0.76014603972435,0.7961111187934875,0.6775103613734246,-0.1872222304344177
dense6,2705,3,prefix,1,0.315978080034256,0.9611111283302307,0.23334240168333054,-0.02222222089767456
dense6,2705,3,all_masks,20,0.42777782678604126,0.8912499994039536,0.3451421484351158,-0.09208334982395172
dense6,2705,3,keeps_first,10,0.3563761651515961,0.9247222244739532,0.27374048680067065,-0.058611124753952026
dense6,2705,3,drops_first,10,0.49917948842048643,0.8577777743339539,0.416543810069561,-0.12555557489395142
dense6,2705,3,alternating,2,0.36037980020046234,0.9083333313465118,0.2777441218495369,-0.07500001788139343
dense6,2705,4,prefix,1,0.15917102992534637,0.9666666388511658,0.07653535157442093,-0.016666710376739502
dense6,2705,4,all_masks,15,0.2556071311235428,0.9322222232818603,0.17297145277261733,-0.05111112594604492
dense6,2705,4,keeps_first,10,0.20083652585744857,0.9513888895511627,0.11820084750652313,-0.03194445967674255
dense6,2705,4,drops_first,5,0.3651483416557312,0.8938888907432556,0.28251266330480573,-0.08944445848464966
dense6,2705,5,prefix,1,0.1018047034740448,0.9750000238418579,0.019169025123119354,-0.008333325386047363
dense6,2705,5,all_masks,6,0.14961912482976913,0.965277781089147,0.06698344647884369,-0.018055568138758343
dense6,2705,5,keeps_first,5,0.12338246405124664,0.9733333349227905,0.0407467857003212,-0.010000014305114746
dense6,2705,5,drops_first,1,0.2808024287223816,0.925000011920929,0.19816675037145615,-0.05833333730697632
dense6,2705,6,prefix,1,0.08263567835092545,0.9833333492279053,0.0,0.0
dense6,2705,6,all_masks,1,0.08263567835092545,0.9833333492279053,0.0,0.0
dense6,2705,6,keeps_first,1,0.08263567835092545,0.9833333492279053,0.0,0.0
constant_ild,2701,1,prefix,1,0.6823806166648865,0.8999999761581421,0.597740113735199,-0.08333337306976318
constant_ild,2701,1,all_masks,6,0.8160834411780039,0.8013888696829478,0.7314429382483164,-0.1819444795449575
constant_ild,2701,1,keeps_first,1,0.6823806166648865,0.8999999761581421,0.597740113735199,-0.08333337306976318
constant_ild,2701,1,drops_first,5,0.8428240060806275,0.7816666483879089,0.75818350315094,-0.20166670083999633
constant_ild,2701,2,prefix,1,0.24598190188407898,0.9777777791023254,0.16134139895439148,-0.005555570125579834
constant_ild,2701,2,all_masks,15,0.38952793677647907,0.9075925906499227,0.30488743384679157,-0.07574075857798258
constant_ild,2701,2,keeps_first,5,0.25557376742362975,0.9622222185134888,0.17093326449394225,-0.021111130714416504
constant_ild,2701,2,drops_first,10,0.4565050214529037,0.8802777767181397,0.3718645185232162,-0.10305557250976563
constant_ild,2701,3,prefix,1,0.12485400587320328,0.9833333492279053,0.04021350294351578,0.0
constant_ild,2701,3,all_masks,20,0.22247818149626256,0.9480555593967438,0.13783767856657506,-0.0352777898311615
constant_ild,2701,3,keeps_first,10,0.13044866397976876,0.9802777767181396,0.04580816105008125,-0.003055572509765625
constant_ild,2701,3,drops_first,10,0.3145076990127563,0.915833342075348,0.22986719608306885,-0.06750000715255737
constant_ild,2701,3,alternating,2,0.20446888357400894,0.9569444358348846,0.11982838064432144,-0.02638891339302063
constant_ild,2701,4,prefix,1,0.0930602103471756,0.9833333492279053,0.008419707417488098,0.0
constant_ild,2701,4,all_masks,15,0.1516839012503624,0.9651851812998454,0.0670433983206749,-0.018148167928059896
constant_ild,2701,4,keeps_first,10,0.09384681060910224,0.9822222173213959,0.009206307679414749,-0.0011111319065093995
constant_ild,2701,4,drops_first,5,0.2673580825328827,0.9311111092567443,0.18271757960319518,-0.05222223997116089
constant_ild,2701,5,prefix,1,0.08458580076694489,0.9833333492279053,-5.4702162742614746e-05,0.0
constant_ild,2701,5,all_masks,6,0.11164617414275806,0.9749999940395355,0.027005671213070553,-0.008333355188369751
constant_ild,2701,5,keeps_first,5,0.0836263582110405,0.9827777743339539,-0.0010141447186470033,-0.000555574893951416
constant_ild,2701,5,drops_first,1,0.2517452538013458,0.9361110925674438,0.16710475087165833,-0.047222256660461426
constant_ild,2701,6,prefix,1,0.0846405029296875,0.9833333492279053,0.0,0.0
constant_ild,2701,6,all_masks,1,0.0846405029296875,0.9833333492279053,0.0,0.0
constant_ild,2701,6,keeps_first,1,0.0846405029296875,0.9833333492279053,0.0,0.0
constant_ild,2702,1,prefix,1,0.6332575082778931,0.9083333611488342,0.5525079295039177,-0.07222217321395874
constant_ild,2702,1,all_masks,6,0.7640101512273153,0.842592587073644,0.6832605724533399,-0.13796294728914896
constant_ild,2702,1,keeps_first,1,0.6332575082778931,0.9083333611488342,0.5525079295039177,-0.07222217321395874
constant_ild,2702,1,drops_first,5,0.7901606798171997,0.829444432258606,0.7094111010432244,-0.15111110210418702
constant_ild,2702,2,prefix,1,0.23476746678352356,0.9750000238418579,0.1540178880095482,-0.005555510520935059
constant_ild,2702,2,all_masks,15,0.37846671243508656,0.9155555566151937,0.2977171336611112,-0.06499997774759929
constant_ild,2702,2,keeps_first,5,0.256011626124382,0.9599999904632568,0.17526204735040665,-0.020555543899536132
constant_ild,2702,2,drops_first,10,0.43969425559043884,0.8933333396911621,0.35894467681646347,-0.08722219467163086
constant_ild,2702,3,prefix,1,0.11793322116136551,0.9833333492279053,0.03718364238739014,0.0027778148651123047
constant_ild,2702,3,all_masks,20,0.21986811012029647,0.9441666722297668,0.1391185313463211,-0.036388862133026126
constant_ild,2702,3,keeps_first,10,0.13533081114292145,0.9730555593967438,0.054581232368946075,-0.007499974966049194
constant_ild,2702,3,drops_first,10,0.3044054090976715,0.9152777850627899,0.22365583032369613,-0.06527774930000305
constant_ild,2702,3,alternating,2,0.2025783285498619,0.9444444477558136,0.12182874977588654,-0.03611108660697937
constant_ild,2702,4,prefix,1,0.08941324055194855,0.9833333492279053,0.008663661777973175,0.0027778148651123047
constant_ild,2702,4,all_masks,15,0.14687174260616304,0.963518516222636,0.06612216383218765,-0.017037018140157064
constant_ild,2702,4,keeps_first,10,0.09683713167905808,0.9794444382190705,0.0160875529050827,-0.001111096143722534
constant_ild,2702,4,drops_first,5,0.24694096446037292,0.9316666722297668,0.16619138568639755,-0.04888886213302612
constant_ild,2702,5,prefix,1,0.08017643541097641,0.980555534362793,-0.0005731433629989624,0.0
constant_ild,2702,5,all_masks,6,0.10635172575712204,0.9763888816038767,0.025602146983146667,-0.004166652758916219
constant_ild,2702,5,keeps_first,5,0.08387334644794464,0.9816666603088379,0.003123767673969269,0.0011111259460449218
constant_ild,2702,5,drops_first,1,0.21874362230300903,0.949999988079071,0.13799404352903366,-0.030555546283721924
constant_ild,2702,6,prefix,1,0.08074957877397537,0.980555534362793,0.0,0.0
constant_ild,2702,6,all_masks,1,0.08074957877397537,0.980555534362793,0.0,0.0
constant_ild,2702,6,keeps_first,1,0.08074957877397537,0.980555534362793,0.0,0.0
constant_ild,2703,1,prefix,1,0.6578179001808167,0.9138888716697693,0.5748950690031052,-0.06944447755813599
constant_ild,2703,1,all_masks,6,0.7776102622350057,0.827777773141861,0.6946874310572942,-0.1555555760860443
constant_ild,2703,1,keeps_first,1,0.6578179001808167,0.9138888716697693,0.5748950690031052,-0.06944447755813599
constant_ild,2703,1,drops_first,5,0.8015687346458436,0.8105555534362793,0.7186459034681321,-0.17277779579162597
constant_ild,2703,2,prefix,1,0.252839595079422,0.9666666388511658,0.1699167639017105,-0.016666710376739502
constant_ild,2703,2,all_masks,15,0.38592517574628193,0.9129629611968995,0.30300234456857045,-0.07037038803100586
constant_ild,2703,2,keeps_first,5,0.2543811142444611,0.9655555486679077,0.17145828306674957,-0.01777780055999756
constant_ild,2703,2,drops_first,10,0.45169720649719236,0.8866666674613952,0.3687743753194809,-0.09666668176651001
constant_ild,2703,3,prefix,1,0.12898540496826172,0.9777777791023254,0.04606257379055023,-0.005555570125579834
constant_ild,2703,3,all_masks,20,0.22901300750672818,0.9461111158132554,0.1460901763290167,-0.03722223341464996
constant_ild,2703,3,keeps_first,10,0.13971151933073997,0.975555557012558,0.05678868815302849,-0.00777779221534729
constant_ild,2703,3,drops_first,10,0.31831449568271636,0.9166666746139527,0.23539166450500487,-0.06666667461395263
constant_ild,2703,3,alternating,2,0.2281704768538475,0.9486111104488373,0.14524764567613602,-0.03472223877906799
constant_ild,2703,4,prefix,1,0.09522051364183426,0.9777777791023254,0.012297682464122772,-0.005555570125579834
constant_ild,2703,4,all_masks,15,0.1574793060620626,0.961296292146047,0.07455647488435109,-0.022037057081858318
constant_ild,2703,4,keeps_first,10,0.10310617983341216,0.9780555546283722,0.020183348655700685,-0.005277794599533081
constant_ild,2703,4,drops_first,5,0.2662255585193634,0.9277777671813965,0.18330272734165193,-0.05555558204650879
constant_ild,2703,5,prefix,1,0.08625124394893646,0.9833333492279053,0.0033284127712249756,0.0
constant_ild,2703,5,all_masks,6,0.11490414539972942,0.9759259223937988,0.03198131422201792,-0.007407426834106445
constant_ild,2703,5,keeps_first,5,0.0884427011013031,0.9838888883590698,0.005519869923591614,0.0005555391311645508
constant_ild,2703,5,drops_first,1,0.24721136689186096,0.9361110925674438,0.16428853571414948,-0.047222256660461426
constant_ild,2703,6,prefix,1,0.08292283117771149,0.9833333492279053,0.0,0.0
constant_ild,2703,6,all_masks,1,0.08292283117771149,0.9833333492279053,0.0,0.0
constant_ild,2703,6,keeps_first,1,0.08292283117771149,0.9833333492279053,0.0,0.0
constant_ild,2704,1,prefix,1,0.5046320557594299,0.9416666626930237,0.4345853626728058,-0.04166668653488159
constant_ild,2704,1,all_masks,6,0.6017221709092458,0.8902777830759684,0.5316754778226217,-0.09305556615193684
constant_ild,2704,1,keeps_first,1,0.5046320557594299,0.9416666626930237,0.4345853626728058,-0.04166668653488159
constant_ild,2704,1,drops_first,5,0.6211401939392089,0.8800000071525573,0.5510935008525848,-0.1033333420753479
constant_ild,2704,2,prefix,1,0.21119119226932526,0.9694444537162781,0.1411444991827011,-0.013888895511627197
constant_ild,2704,2,all_masks,15,0.3236917436122894,0.9307407379150391,0.25364505052566527,-0.05259261131286621
constant_ild,2704,2,keeps_first,5,0.21957587599754333,0.9666666746139526,0.14952918291091918,-0.016666674613952638
constant_ild,2704,2,drops_first,10,0.3757496774196625,0.9127777695655823,0.30570298433303833,-0.070555579662323
constant_ild,2704,3,prefix,1,0.11171986162662506,0.980555534362793,0.041673168540000916,-0.0027778148651123047
constant_ild,2704,3,all_masks,20,0.2061532787978649,0.9508333295583725,0.13610658571124076,-0.032500019669532774
constant_ild,2704,3,keeps_first,10,0.12398252636194229,0.976666659116745,0.053935833275318146,-0.006666690111160278
constant_ild,2704,3,drops_first,10,0.2883240312337875,0.925,0.21827733814716338,-0.05833334922790527
constant_ild,2704,3,alternating,2,0.20162108913064003,0.9513888657093048,0.13157439604401588,-0.031944483518600464
constant_ild,2704,4,prefix,1,0.08322465419769287,0.9833333492279053,0.013177961111068726,0.0
constant_ild,2704,4,all_masks,15,0.14644744445880253,0.9646296342213948,0.0764007513721784,-0.018703715006510416
constant_ild,2704,4,keeps_first,10,0.0902147151529789,0.9808333396911622,0.020168022066354752,-0.002500009536743164
constant_ild,2704,4,drops_first,5,0.25891290307044984,0.9322222232818603,0.1888662099838257,-0.05111112594604492
constant_ild,2704,5,prefix,1,0.07411406934261322,0.9833333492279053,0.004067376255989075,0.0
constant_ild,2704,5,all_masks,6,0.10626401503880818,0.9759259422620138,0.036217321952184044,-0.0074074069658915205
constant_ild,2704,5,keeps_first,5,0.07639889717102051,0.9833333492279053,0.0063522040843963625,0.0
constant_ild,2704,5,drops_first,1,0.2555896043777466,0.9388889074325562,0.18554291129112244,-0.04444444179534912
constant_ild,2704,6,prefix,1,0.07004669308662415,0.9833333492279053,0.0,0.0
constant_ild,2704,6,all_masks,1,0.07004669308662415,0.9833333492279053,0.0,0.0
constant_ild,2704,6,keeps_first,1,0.07004669308662415,0.9833333492279053,0.0,0.0
constant_ild,2705,1,prefix,1,0.6073299646377563,0.9416666626930237,0.5338436365127563,-0.04166668653488159
constant_ild,2705,1,all_masks,6,0.7863763074080149,0.8231481413046519,0.7128899792830149,-0.1601852079232534
constant_ild,2705,1,keeps_first,1,0.6073299646377563,0.9416666626930237,0.5338436365127563,-0.04166668653488159
constant_ild,2705,1,drops_first,5,0.8221855759620667,0.7994444370269775,0.7486992478370667,-0.18388891220092773
constant_ild,2705,2,prefix,1,0.22563478350639343,0.980555534362793,0.15214845538139343,-0.0027778148651123047
constant_ild,2705,2,all_masks,15,0.39114069044589994,0.9066666642824809,0.31765436232089994,-0.0766666849454244
constant_ild,2705,2,keeps_first,5,0.2432449370622635,0.9672222137451172,0.1697586089372635,-0.016111135482788086
constant_ild,2705,2,drops_first,10,0.4650885671377182,0.8763888895511627,0.3916022390127182,-0.10694445967674256
constant_ild,2705,3,prefix,1,0.11025160551071167,0.9861111044883728,0.03676527738571167,0.0027777552604675293
constant_ild,2705,3,all_masks,20,0.23678418286144734,0.9377777755260468,0.16329785473644734,-0.04555557370185852
constant_ild,2705,3,keeps_first,10,0.131882131844759,0.975555557012558,0.058395803719758985,-0.00777779221534729
constant_ild,2705,3,drops_first,10,0.3416862338781357,0.8999999940395356,0.2681999057531357,-0.08333335518836975
constant_ild,2705,3,alternating,2,0.21701905131340027,0.9458333253860474,0.14353272318840027,-0.03750002384185791
constant_ild,2705,4,prefix,1,0.08310636132955551,0.9833333492279053,0.009620033204555511,0.0
constant_ild,2705,4,all_masks,15,0.16108167419830957,0.9588888883590698,0.08759534607330959,-0.02444446086883545
constant_ild,2705,4,keeps_first,10,0.0947048731148243,0.9813888907432556,0.021218544989824294,-0.0019444584846496581
constant_ild,2705,4,drops_first,5,0.2938352763652802,0.9138888835906982,0.22034894824028015,-0.06944446563720703
constant_ild,2705,5,prefix,1,0.07669233530759811,0.9833333492279053,0.003206007182598114,0.0
constant_ild,2705,5,all_masks,6,0.1120644211769104,0.9722222288449606,0.0385780930519104,-0.011111120382944742
constant_ild,2705,5,keeps_first,5,0.07989502549171448,0.9833333373069764,0.006408697366714478,-1.1920928955078126e-08
constant_ild,2705,5,drops_first,1,0.27291139960289,0.9166666865348816,0.19942507147789001,-0.06666666269302368
constant_ild,2705,6,prefix,1,0.073486328125,0.9833333492279053,0.0,0.0
