treatment,seed,lr,model_depth,retained_depth,mask,is_prefix,keeps_first,is_alternating,ce,accuracy,excess_ce,accuracy_change,full_ce,full_accuracy
dense6,2701,0.0003,6,5,101111,False,True,False,0.15969835221767426,0.9611111283302307,0.07566982507705688,-0.02222222089767456,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,5,011111,False,False,False,0.2547604739665985,0.9361110925674438,0.17073194682598114,-0.047222256660461426,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,6,111111,True,True,False,0.08402852714061737,0.9833333492279053,0.0,0.0,0.08402852714061737,0.9833333492279053
constant_ild,2701,0.0003,6,1,100000,True,True,False,0.6823806166648865,0.8999999761581421,0.597740113735199,-0.08333337306976318,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,1,010000,False,False,False,0.7441000938415527,0.8472222089767456,0.6594595909118652,-0.13611114025115967,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,1,001000,False,False,False,0.8177095055580139,0.7722222208976746,0.7330690026283264,-0.2111111283302307,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,1,000100,False,False,False,0.7494553327560425,0.8194444179534912,0.664814829826355,-0.16388893127441406,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,1,000010,False,False,False,0.9091606140136719,0.7388888597488403,0.8245201110839844,-0.24444448947906494,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,1,000001,False,False,False,0.9936944842338562,0.730555534362793,0.9090539813041687,-0.2527778148651123,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,2,110000,True,True,False,0.24598190188407898,0.9777777791023254,0.16134139895439148,-0.005555570125579834,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,2,101000,False,True,False,0.23380304872989655,0.9750000238418579,0.14916254580020905,-0.008333325386047363,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,2,100100,False,True,False,0.23711173236370087,0.9583333134651184,0.15247122943401337,-0.025000035762786865,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,2,100010,False,True,False,0.2700556814670563,0.9444444179534912,0.18541517853736877,-0.03888893127441406,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,2,100001,False,True,False,0.29091647267341614,0.9555555582046509,0.20627596974372864,-0.027777791023254395,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,2,011000,False,False,False,0.3967324495315552,0.9222221970558167,0.3120919466018677,-0.06111115217208862,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,2,010100,False,False,False,0.35977426171302795,0.9055555462837219,0.27513375878334045,-0.07777780294418335,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,2,010010,False,False,False,0.4052698016166687,0.9027777910232544,0.3206292986869812,-0.08055555820465088,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,2,010001,False,False,False,0.3961596190929413,0.9194444417953491,0.3115191161632538,-0.06388890743255615,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,2,001100,False,False,False,0.4144704043865204,0.8888888955116272,0.3298299014568329,-0.09444445371627808,0.0846405029296875,0.9833333492279053
constant_ild,2701,0.0003,6,2,001010,False,False,False,0.4722737967967987,0.8722222447395325,0.3876332938671112,-0.1111111044883728,0.0846405029296875,0.9833333492279053
